time_ps,current_mA
0.0,304.4151
625.0,286.1459
1250.0,291.5918
1875.0,275.8480
2500.0,280.9316
3125.0,270.2361
3750.0,293.8542
4375.0,263.5037
5000.0,290.9529
5625.0,277.3309
6250.0,296.3975
6875.0,290.5122
7500.0,305.4890
8125.0,290.2308
8750.0,257.9914
9375.0,279.0627
10000.0,263.5919
10625.0,272.7441
11250.0,301.1572
11875.0,288.9255
12500.0,270.2150
13125.0,265.8080
13750.0,280.4589
14375.0,262.9682
15000.0,270.6040
15625.0,284.3681
16250.0,296.1744
16875.0,288.5227
17500.0,247.9219
18125.0,284.2611
18750.0,281.0085
19375.0,285.7945
20000.0,302.6269
20625.0,251.1147
21250.0,271.7246
21875.0,288.2727
22500.0,257.8577
23125.0,300.6633
23750.0,285.1570
24375.0,291.8522
25000.0,272.0068
25625.0,291.3927
26250.0,294.9586
26875.0,283.2603
27500.0,283.2816
28125.0,283.7848
28750.0,267.9132
29375.0,277.9346
30000.0,277.8647
30625.0,285.3675
31250.0,293.9975
31875.0,265.1805
32500.0,278.2499
33125.0,300.7404
33750.0,269.5898
34375.0,268.4885
35000.0,282.8323
35625.0,291.8214
36250.0,280.1600
36875.0,298.6054
37500.0,291.9951
38125.0,291.7855
38750.0,287.7576
39375.0,312.5871
40000.0,277.1277
40625.0,251.9507
41250.0,302.4596
41875.0,273.5922
42500.0,281.5103
43125.0,298.3337
43750.0,257.5684
44375.0,262.4769
45000.0,257.5821
45625.0,268.8821
46250.0,286.1549
46875.0,287.3386
47500.0,283.8678
48125.0,260.2213
48750.0,247.6586
49375.0,280.7610
50000.0,273.3951
50625.0,286.4314
51250.0,289.8274
51875.0,281.9354
52500.0,290.6419
53125.0,283.2090
53750.0,287.4209
54375.0,270.1346
55000.0,277.4854
55625.0,282.7549
56250.0,291.4874
56875.0,274.4876
57500.0,287.2963
58125.0,276.2783
58750.0,278.3544
59375.0,291.6133
60000.0,252.0972
60625.0,261.8494
61250.0,259.2494
61875.0,247.3294
62500.0,270.5043
63125.0,290.4921
63750.0,276.0116
64375.0,282.7691
65000.0,295.2490
65625.0,298.5876
66250.0,279.0321
66875.0,298.9502
67500.0,281.2898
68125.0,268.2764
68750.0,271.6784
69375.0,259.2725
70000.0,267.5661
70625.0,274.9878
71250.0,291.2502
71875.0,304.0908
72500.0,260.6495
73125.0,285.4996
73750.0,265.4324
74375.0,286.6458
75000.0,278.1648
75625.0,254.3673
76250.0,292.9962
76875.0,271.5300
77500.0,272.5254
78125.0,265.0235
78750.0,270.8400
79375.0,285.9905
80000.0,277.3506
80625.0,284.6013
81250.0,285.0669
81875.0,298.4893
82500.0,275.2010
83125.0,259.3240
83750.0,294.9411
84375.0,275.3592
85000.0,295.6043
85625.0,285.3673
86250.0,278.1641
86875.0,284.8829
87500.0,307.3142
88125.0,309.0777
88750.0,280.9713
89375.0,282.2427
90000.0,295.0674
90625.0,268.1607
91250.0,284.6630
91875.0,279.6379
92500.0,284.3947
93125.0,268.3328
93750.0,257.7461
94375.0,250.9782
95000.0,264.3566
95625.0,273.5785
96250.0,275.8953
96875.0,307.1212
97500.0,295.4839
98125.0,266.5307
98750.0,284.8679
99375.0,274.3009
100000.0,276.0189
100625.0,282.5946
101250.0,288.6684
101875.0,275.2504
102500.0,294.8939
103125.0,264.0129
103750.0,280.0887
104375.0,316.3674
105000.0,283.1231
105625.0,300.0650
106250.0,281.2813
106875.0,288.1309
107500.0,279.2050
108125.0,277.6143
108750.0,269.0872
109375.0,286.0242
110000.0,268.0785
110625.0,289.3182
111250.0,295.1940
111875.0,285.1314
112500.0,275.9925
113125.0,286.3555
113750.0,275.6786
114375.0,293.0977
115000.0,254.3603
115625.0,275.3015
116250.0,252.1286
116875.0,259.0691
117500.0,299.0941
118125.0,292.5326
118750.0,269.9273
119375.0,258.9650
120000.0,238.4966
120625.0,272.3911
121250.0,313.8858
121875.0,286.0884
122500.0,272.1660
123125.0,286.5111
123750.0,258.1466
124375.0,275.8375
125000.0,281.3927
125625.0,278.7946
126250.0,291.0713
126875.0,284.8250
127500.0,289.3566
128125.0,270.3628
128750.0,292.5694
129375.0,302.8051
130000.0,266.4179
130625.0,267.5723
131250.0,298.7010
131875.0,277.3212
132500.0,299.6535
133125.0,273.8045
133750.0,300.3706
134375.0,281.8408
135000.0,283.6152
135625.0,301.9061
136250.0,274.9352
136875.0,266.8243
137500.0,273.7201
138125.0,286.3327
138750.0,258.0794
139375.0,288.9246
140000.0,272.4572
140625.0,296.0694
141250.0,246.4804
141875.0,268.9881
142500.0,256.3894
143125.0,268.4328
143750.0,283.4673
144375.0,277.4908
145000.0,276.4527
145625.0,277.7714
146250.0,282.8474
146875.0,265.8805
147500.0,289.8959
148125.0,289.2773
148750.0,285.3905
149375.0,287.7915
150000.0,284.1499
150625.0,308.4910
151250.0,278.7807
151875.0,275.7008
152500.0,269.4506
153125.0,265.5483
153750.0,262.5774
154375.0,267.5568
155000.0,279.0105
155625.0,284.6801
156250.0,280.7160
156875.0,269.2825
157500.0,292.6026
158125.0,290.3518
158750.0,277.7649
159375.0,270.8592
160000.0,287.6780
160625.0,282.6316
161250.0,259.7262
161875.0,279.0483
162500.0,283.6685
163125.0,267.4043
163750.0,282.6578
164375.0,259.6325
165000.0,298.7066
165625.0,297.4713
166250.0,276.4648
166875.0,285.0884
167500.0,246.2611
168125.0,263.8111
168750.0,275.8871
169375.0,264.9901
170000.0,290.0016
170625.0,307.9622
171250.0,263.5274
171875.0,268.2755
172500.0,283.2963
173125.0,302.5556
173750.0,262.8868
174375.0,283.4865
175000.0,305.4982
175625.0,256.8754
176250.0,262.0650
176875.0,274.0695
177500.0,272.7118
178125.0,291.3764
178750.0,283.3832
179375.0,255.1505
180000.0,287.2157
180625.0,271.9145
181250.0,297.8423
181875.0,271.2138
182500.0,271.0874
183125.0,287.5758
183750.0,290.6810
184375.0,286.2734
185000.0,256.4016
185625.0,287.5325
186250.0,265.5197
186875.0,283.2939
187500.0,260.0677
188125.0,286.2485
188750.0,268.7076
189375.0,262.0431
190000.0,289.9935
190625.0,283.3830
191250.0,271.4043
191875.0,300.3165
192500.0,273.8309
193125.0,280.4495
193750.0,283.7648
194375.0,271.3247
195000.0,286.5959
195625.0,272.5317
196250.0,274.2371
196875.0,299.0770
197500.0,265.4318
198125.0,246.2211
198750.0,302.5531
199375.0,315.6906
200000.0,274.3262
200625.0,252.8843
201250.0,275.6532
201875.0,275.9929
202500.0,277.3411
203125.0,264.4126
203750.0,288.1139
204375.0,287.3431
205000.0,259.0783
205625.0,289.7888
206250.0,308.7376
206875.0,282.4074
207500.0,275.2774
208125.0,278.0120
208750.0,288.6136
209375.0,255.7706
210000.0,282.3015
210625.0,274.5335
211250.0,305.8696
211875.0,277.5616
212500.0,303.3504
213125.0,264.5476
213750.0,288.2216
214375.0,284.4716
215000.0,267.8333
215625.0,282.4835
216250.0,296.9753
216875.0,275.4669
217500.0,256.3125
218125.0,279.7541
218750.0,44.8793
219375.0,46.1955
220000.0,46.8083
220625.0,42.9917
221250.0,43.2032
221875.0,48.1329
222500.0,45.7716
223125.0,40.9729
223750.0,48.8444
224375.0,47.6401
225000.0,45.3224
225625.0,43.9054
226250.0,48.9641
226875.0,47.8210
227500.0,41.4078
228125.0,37.7773
228750.0,37.7173
229375.0,36.6912
230000.0,38.5110
230625.0,38.1564
231250.0,39.3157
231875.0,36.0356
232500.0,36.1945
233125.0,36.1137
233750.0,38.4630
234375.0,39.7720
235000.0,36.1511
235625.0,36.2142
236250.0,37.5810
236875.0,36.5453
237500.0,38.7613
238125.0,32.8342
238750.0,35.4706
239375.0,35.5525
240000.0,32.7073
240625.0,35.2173
241250.0,35.3070
241875.0,36.6280
242500.0,39.0590
243125.0,36.5466
243750.0,35.0930
244375.0,36.8946
245000.0,38.9410
245625.0,35.1945
246250.0,35.3154
246875.0,59.6198
247500.0,57.3575
248125.0,59.8777
248750.0,57.9604
249375.0,60.0348
250000.0,54.9983
250625.0,57.9650
251250.0,57.3890
251875.0,54.4739
252500.0,53.4659
253125.0,59.9887
253750.0,56.9822
254375.0,55.0354
255000.0,57.7211
255625.0,61.2713
256250.0,51.3859
256875.0,53.6597
257500.0,55.3236
258125.0,62.2374
258750.0,58.8195
259375.0,60.2252
260000.0,54.6935
260625.0,219.0134
261250.0,237.1946
261875.0,232.6760
262500.0,238.3654
263125.0,229.8230
263750.0,235.2265
264375.0,233.8342
265000.0,241.0221
265625.0,48.8965
266250.0,43.1933
266875.0,41.7189
267500.0,49.3541
268125.0,49.7912
268750.0,44.6015
269375.0,42.6294
270000.0,47.2327
270625.0,49.1875
271250.0,51.2243
271875.0,48.2133
272500.0,46.1265
273125.0,44.9011
273750.0,47.0269
274375.0,46.2967
275000.0,44.6146
275625.0,51.8146
276250.0,51.1951
276875.0,49.6697
277500.0,44.8360
278125.0,49.0093
278750.0,48.5031
279375.0,37.8187
280000.0,39.3119
280625.0,38.1754
281250.0,38.3690
281875.0,38.1783
282500.0,37.6305
283125.0,33.7003
283750.0,37.1547
284375.0,35.9710
285000.0,34.6323
285625.0,40.1114
286250.0,40.1986
286875.0,39.5146
287500.0,37.4721
288125.0,39.4987
288750.0,37.0223
289375.0,37.3752
290000.0,34.9771
290625.0,37.7344
291250.0,37.1117
291875.0,34.5901
292500.0,36.9053
293125.0,36.8525
293750.0,40.3255
294375.0,38.6543
295000.0,37.0212
295625.0,37.4603
296250.0,37.0818
296875.0,36.6246
297500.0,34.9975
298125.0,36.7206
298750.0,35.6197
299375.0,34.6869
300000.0,37.9458
300625.0,59.1347
301250.0,52.8185
301875.0,57.6442
302500.0,60.8875
303125.0,61.0717
303750.0,60.9749
304375.0,58.1128
305000.0,55.5494
305625.0,54.8573
306250.0,58.9994
306875.0,59.0999
307500.0,61.7333
308125.0,61.1899
308750.0,57.6165
309375.0,54.3918
310000.0,57.0746
310625.0,58.6300
311250.0,57.4140
311875.0,56.3241
312500.0,58.7334
313125.0,56.5385
313750.0,56.1786
314375.0,228.5038
315000.0,220.4776
315625.0,227.7462
316250.0,228.0735
316875.0,212.1814
317500.0,219.5860
318125.0,241.1750
318750.0,211.9266
319375.0,42.0259
320000.0,42.6247
320625.0,47.0684
321250.0,47.0727
321875.0,46.7236
322500.0,49.8533
323125.0,40.7188
323750.0,47.9304
324375.0,50.6694
325000.0,44.3497
325625.0,46.1075
326250.0,45.2307
326875.0,44.8983
327500.0,46.2333
328125.0,50.3546
328750.0,51.3179
329375.0,46.2105
330000.0,51.4769
330625.0,47.0836
331250.0,51.1212
331875.0,46.7807
332500.0,47.3080
333125.0,37.6761
333750.0,42.8809
334375.0,38.5749
335000.0,35.6916
335625.0,38.7926
336250.0,36.3306
336875.0,36.0940
337500.0,38.6809
338125.0,37.0575
338750.0,37.5154
339375.0,37.0259
340000.0,37.6227
340625.0,37.7862
341250.0,33.4166
341875.0,38.2332
342500.0,35.1833
343125.0,34.3317
343750.0,36.8919
344375.0,37.1554
345000.0,35.7170
345625.0,60.4100
346250.0,54.1077
346875.0,56.8199
347500.0,56.3039
348125.0,57.8649
348750.0,58.8087
349375.0,55.0771
350000.0,60.1004
350625.0,58.1827
351250.0,52.5134
351875.0,52.3201
352500.0,57.9643
353125.0,57.3592
353750.0,57.7001
354375.0,57.9189
355000.0,58.6541
355625.0,60.7482
356250.0,54.7778
356875.0,54.6013
357500.0,54.8294
358125.0,58.8379
358750.0,61.6103
359375.0,220.1474
360000.0,196.8559
360625.0,205.8301
361250.0,215.6283
361875.0,218.7256
362500.0,220.4056
363125.0,225.4340
363750.0,221.4929
364375.0,49.4659
365000.0,45.4114
365625.0,44.9736
366250.0,48.1254
366875.0,43.3912
367500.0,47.9158
368125.0,47.2410
368750.0,46.6535
369375.0,50.7324
370000.0,45.5378
370625.0,51.8417
371250.0,46.4702
371875.0,43.9990
372500.0,47.1643
373125.0,44.4708
373750.0,45.2334
374375.0,47.9330
375000.0,48.3056
375625.0,45.5379
376250.0,49.3204
376875.0,49.7201
377500.0,50.3753
378125.0,37.9794
378750.0,39.5223
379375.0,33.5205
380000.0,36.4119
380625.0,35.3960
381250.0,37.2206
381875.0,35.9428
382500.0,36.6926
383125.0,40.4820
383750.0,36.6860
384375.0,37.7655
385000.0,36.5703
385625.0,37.1401
386250.0,37.0111
386875.0,37.8294
387500.0,39.1558
388125.0,40.0477
388750.0,37.5728
389375.0,38.0907
390000.0,34.8709
390625.0,36.8374
