time_ps,current_mA
0.0,284.2660
625.0,265.4402
1250.0,290.5063
1875.0,293.1679
2500.0,252.6855
3125.0,261.7695
3750.0,281.7898
4375.0,275.5726
5000.0,279.7648
5625.0,268.0574
6250.0,292.3116
6875.0,290.8891
7500.0,280.9244
8125.0,295.7814
8750.0,286.5451
9375.0,267.9699
10000.0,285.1625
10625.0,266.5756
11250.0,292.2983
11875.0,279.3010
12500.0,277.4119
13125.0,270.4670
13750.0,297.1156
14375.0,277.8366
15000.0,274.0034
15625.0,275.0701
16250.0,287.4523
16875.0,285.1162
17500.0,285.7783
18125.0,286.0315
18750.0,309.9831
19375.0,274.3102
20000.0,272.8286
20625.0,268.6072
21250.0,288.6237
21875.0,295.8056
22500.0,278.4047
23125.0,268.2378
23750.0,268.4573
24375.0,289.1083
25000.0,290.4056
25625.0,287.6042
26250.0,270.6829
26875.0,283.2503
27500.0,281.6336
28125.0,283.0616
28750.0,292.2000
29375.0,283.1303
30000.0,289.5048
30625.0,280.9461
31250.0,284.0477
31875.0,288.8380
32500.0,259.5998
33125.0,275.5246
33750.0,273.4148
34375.0,271.0557
35000.0,276.1480
35625.0,300.9292
36250.0,267.8784
36875.0,293.5559
37500.0,256.4398
38125.0,275.3116
38750.0,282.2785
39375.0,288.2071
40000.0,289.9572
40625.0,291.1069
41250.0,275.1178
41875.0,273.5271
42500.0,292.0117
43125.0,277.3217
43750.0,262.1404
44375.0,264.1340
45000.0,267.1277
45625.0,286.9603
46250.0,281.9940
46875.0,289.6668
47500.0,274.0185
48125.0,282.2196
48750.0,288.7583
49375.0,275.6691
50000.0,286.3949
50625.0,270.7330
51250.0,274.9172
51875.0,274.6557
52500.0,263.2582
53125.0,286.8176
53750.0,273.4284
54375.0,280.1749
55000.0,286.7305
55625.0,286.2514
56250.0,289.3154
56875.0,278.6212
57500.0,274.0738
58125.0,278.8839
58750.0,256.3773
59375.0,259.7404
60000.0,261.4822
60625.0,266.0385
61250.0,285.5968
61875.0,267.3233
62500.0,274.7057
63125.0,298.1892
63750.0,275.0123
64375.0,290.3252
65000.0,266.9294
65625.0,277.1239
66250.0,266.6997
66875.0,275.2535
67500.0,291.7643
68125.0,255.8175
68750.0,286.0819
69375.0,283.3283
70000.0,271.6819
70625.0,259.7552
71250.0,281.0098
71875.0,272.5871
72500.0,283.2575
73125.0,280.3059
73750.0,302.4249
74375.0,276.6490
75000.0,265.6710
75625.0,282.5099
76250.0,283.0800
76875.0,299.0286
77500.0,291.6916
78125.0,284.9962
78750.0,300.4862
79375.0,263.3573
80000.0,271.0435
80625.0,267.0279
81250.0,274.5427
81875.0,260.7264
82500.0,288.8921
83125.0,276.8889
83750.0,259.4087
84375.0,265.7819
85000.0,284.3892
85625.0,291.7338
86250.0,307.9542
86875.0,320.7941
87500.0,285.8017
88125.0,266.1465
88750.0,250.1514
89375.0,283.7480
90000.0,268.6188
90625.0,274.1850
91250.0,271.4306
91875.0,278.0289
92500.0,294.9237
93125.0,282.1987
93750.0,277.7791
94375.0,265.5008
95000.0,256.5544
95625.0,273.1917
96250.0,279.2470
96875.0,304.7510
97500.0,281.8238
98125.0,293.7584
98750.0,273.0099
99375.0,263.4108
100000.0,266.4884
100625.0,269.8468
101250.0,309.7986
101875.0,268.5006
102500.0,291.7388
103125.0,267.3590
103750.0,293.0420
104375.0,285.3893
105000.0,277.8071
105625.0,279.4293
106250.0,270.8330
